"","date","vintage_date","district","ensemble_dist_wgt","case_vintage","epidemic_flag","epidemic_flag_poisson","epidemic_flag_poisson2","epidemic_flag_nb","epidemic_flag_quant","epidemic_flag_fixed","threshold_poisson","threshold_poisson2","threshold_nb","threshold","threshold_quant","epidemic_flag_ensamble_possion","epidemic_flag_ensamble_2sd","epidemic_flag_ensamble_quant","epidemic_flag_ensamble_fix_100","epidemic_flag_ensamble_fix_150","epidemic_flag_ensamble_fix_300","epidemic_flag_ensamble_95quant"
"1",2012-03-01,2012-01-01,"AN MINH",19.6411095452854,32,0,0,0,0,0,0,36,33,34,52.8855834904671,43.9,0,0,0,0,0,0,0
"2",2012-03-01,2012-01-01,"AN PHU",10.4789974282201,8,0,0,0,0,0,0,22,20,20,20.6938330115242,17.1,0,0,0,0,0,0,0
"3",2012-03-01,2012-01-01,"BA TRI",5.17887915937697,5,0,0,0,0,0,0,11,9,10,15.6770782520313,15.3,0,0,0,0,0,0,0
"4",2012-03-01,2012-01-01,"BAC LIEU",15.9892529662834,7,0,0,0,0,0,0,35,32,33,62.8742882212843,73.25,0,0,0,0,0,0,0
"5",2012-03-01,2012-01-01,"BEN LUC",8.74047744548087,7,0,0,0,0,0,0,19,17,18,22.0395488626163,17.5,0,0,0,0,0,0,0
"6",2012-03-01,2012-01-01,"BEN TRE",10.5265641373985,8,0,0,0,0,0,0,21.025,19,20,21.4945765413311,24.2,0,0,0,0,0,0,0
"7",2012-03-01,2012-01-01,"BINH DAI",15.3749223940636,3,0,0,0,0,0,0,22,20,20,25.8579292019179,22.65,0,0,0,0,0,0,0
"8",2012-03-01,2012-01-01,"BINH MINH",13.7427707864701,29,0,1,1,1,1,0,26,23,24,32.2249804992081,24.25,0,0,0,0,0,0,0
"9",2012-03-01,2012-01-01,"BINH THUY",6.74655664978037,5,0,0,0,0,0,0,6,5,6,5.43315017762062,5.5,1,1,1,0,0,0,1
"10",2012-03-01,2012-01-01,"CA MAU",13.1688130292033,7,0,0,0,0,0,0,8,7,7,12.0380092438916,32,1,1,0,0,0,0,0
"11",2012-03-01,2012-01-01,"CAI BE",16.5028428260861,27,0,0,0,0,0,0,39.025,36,37,60.584333653096,57.05,0,0,0,0,0,0,0
"12",2012-03-01,2012-01-01,"CAI LAY",46.8170532192673,49,0,0,0,0,0,0,87.025,83,84,115.925364720074,100,0,0,0,0,0,0,0
"13",2012-03-01,2012-01-01,"CAI NUOC",13.7561229638737,9,0,0,0,0,0,0,22,20,21,47.4998525070538,32.9,0,0,0,0,0,0,0
"14",2012-03-01,2012-01-01,"CAI RANG",8.0822289665584,7,0,0,0,0,0,0,12,10,11,13.4681158050723,15.2,0,0,0,0,0,0,0
"15",2012-03-01,2012-01-01,"CAN DUOC",9.24879998601575,11,1,1,1,1,1,0,10.025,9,9,8.086335345031,6,0,1,1,0,0,0,1
"16",2012-03-01,2012-01-01,"CAN GIUOC",25.4130157892883,14,0,0,0,0,0,0,31,28,29,36.6996894379985,29,0,0,0,0,0,0,0
"17",2012-03-01,2012-01-01,"CANG LONG",6.89391691603253,1,0,0,0,0,0,0,9,8,8,11.8740078740118,8.5,0,0,0,0,0,0,0
"18",2012-03-01,2012-01-01,"CAO LANH CITY",5.73337189154674,3,0,0,0,0,0,0,18,16,16,19.5166517590817,25.25,0,0,0,0,0,0,0
"19",2012-03-01,2012-01-01,"CAO LANH DISTRICT",8.45773092138638,6,0,0,0,0,0,0,36,33,34,49.160130292814,62.6,0,0,0,0,0,0,0
"20",2012-03-01,2012-01-01,"CAU KE",3.83379263210589,2,0,0,0,0,0,0,12,10,10,16.1451410611713,13.65,0,0,0,0,0,0,0
"21",2012-03-01,2012-01-01,"CAU NGANG",2.31467318738573,3,0,0,0,0,0,0,9,7,8,10.028964600959,7.8,0,0,0,0,0,0,0
"22",2012-03-01,2012-01-01,"CHAU DOC",12.7804854722043,12,1,1,1,1,1,0,10,8,8,7.77770876399966,7,1,1,1,0,0,0,1
"23",2012-03-01,2012-01-01,"CHAU PHU",14.5790505531027,25,1,1,1,1,1,0,18.025,16,17,18.3365774725667,14.65,0,0,0,0,0,0,0
"24",2012-03-01,2012-01-01,"CHAU THANH",7.10319470280673,8,0,0,0,0,0,0,14.025,12,13,14.0187226143525,18.5,0,0,0,0,0,0,0
"25",2012-03-01,2012-01-01,"CHAU THANH A",3.79825518166057,4,0,0,0,0,0,0,11.025,10,11,12.7856996786292,18.5,0,0,0,0,0,0,0
"26",2012-03-01,2012-01-01,"CHAU THANH AN GIANG",9.90679799650875,9,0,0,0,0,0,0,15,13,14,22.4913767461894,27.8,0,0,0,0,0,0,0
"27",2012-03-01,2012-01-01,"CHAU THANH BEN TRE",7.79105553106391,6,0,0,0,0,0,0,30,27,28,33.8548237449644,27.6,0,0,0,0,0,0,0
