issue_date,selected_date,selected_fcode,selected_horizon,year,epidemic_flag_risk_incidence,epidemic_flag_z_score_incidence,epidemic_flag_pred_mean,epidemic_flag_from_two_methods,epidemic_flag_from_three_methods,mean,median,obs_dengue_cases,pop_total
2025-10-01,2025-11-01,ED_AN_GIANG_AN_PHU_DISTRICT,1 month,2025,1,1,1,1,1,92.337,84,NA,148259
2025-10-01,2025-12-01,ED_AN_GIANG_AN_PHU_DISTRICT,2 months,2025,1,1,1,1,1,67.0848,56,NA,148259
2025-10-01,2026-01-01,ED_AN_GIANG_AN_PHU_DISTRICT,3 months,2026,0,1,1,1,0,50.2378,39,NA,148259
2025-10-01,2025-11-01,ED_AN_GIANG_CHAU_DOC_CITY,1 month,2025,1,1,1,1,1,38.7040378827811,35.0027525469997,NA,101612
2025-10-01,2025-12-01,ED_AN_GIANG_CHAU_DOC_CITY,2 months,2025,1,1,1,1,1,30.5500289982614,26,NA,101612
2025-10-01,2026-01-01,ED_AN_GIANG_CHAU_DOC_CITY,3 months,2026,0,1,0,0,0,23.2003882101945,18,NA,101612
2025-10-01,2025-11-01,ED_AN_GIANG_CHAU_PHU_DISTRICT,1 month,2025,0,0,0,0,0,86.4077778047868,78,NA,206321
2025-10-01,2025-12-01,ED_AN_GIANG_CHAU_PHU_DISTRICT,2 months,2025,0,0,0,0,0,61.8237944652206,53,NA,206321
2025-10-01,2026-01-01,ED_AN_GIANG_CHAU_PHU_DISTRICT,3 months,2026,0,0,0,0,0,45.9424662303665,38,NA,206321
2025-10-01,2025-11-01,ED_AN_GIANG_CHAU_THANH_DISTRICT,1 month,2025,0,1,0,0,0,39.9989900543328,32,NA,151069
2025-10-01,2025-12-01,ED_AN_GIANG_CHAU_THANH_DISTRICT,2 months,2025,0,1,0,0,0,33.0404394235197,24,NA,151069
2025-10-01,2026-01-01,ED_AN_GIANG_CHAU_THANH_DISTRICT,3 months,2026,0,0,0,0,0,27.5395460723824,19,NA,151069
2025-10-01,2025-11-01,ED_AN_GIANG_CHO_MOI_DISTRICT,1 month,2025,0,0,0,0,0,96.8082464522834,87,NA,307715
2025-10-01,2025-12-01,ED_AN_GIANG_CHO_MOI_DISTRICT,2 months,2025,0,0,0,0,0,87.7728241313572,72,NA,307715
2025-10-01,2026-01-01,ED_AN_GIANG_CHO_MOI_DISTRICT,3 months,2026,0,0,0,0,0,70.6054837186981,56,NA,307715
2025-10-01,2025-11-01,ED_AN_GIANG_LONG_XUYEN_CITY,1 month,2025,0,0,0,0,0,66.8908,61,NA,272838
2025-10-01,2025-12-01,ED_AN_GIANG_LONG_XUYEN_CITY,2 months,2025,0,0,0,0,0,53.9633,45,NA,272838
2025-10-01,2026-01-01,ED_AN_GIANG_LONG_XUYEN_CITY,3 months,2026,0,0,0,0,0,44.5982,36,NA,272838
2025-10-01,2025-11-01,ED_AN_GIANG_PHU_TAN_DISTRICT,1 month,2025,0,0,0,0,0,69.5623,64,NA,188532
2025-10-01,2025-12-01,ED_AN_GIANG_PHU_TAN_DISTRICT,2 months,2025,0,0,0,0,0,51.8349,44,NA,188532
2025-10-01,2026-01-01,ED_AN_GIANG_PHU_TAN_DISTRICT,3 months,2026,0,0,0,0,0,37.2391,30,NA,188532
2025-10-01,2025-11-01,ED_AN_GIANG_TAN_CHAU_TOWN,1 month,2025,0,1,1,1,0,72.0931960559092,45,NA,140901
2025-10-01,2025-12-01,ED_AN_GIANG_TAN_CHAU_TOWN,2 months,2025,0,1,1,1,0,53.5778759175201,31.5993357320786,NA,140901
2025-10-01,2026-01-01,ED_AN_GIANG_TAN_CHAU_TOWN,3 months,2026,0,1,0,0,0,40.6877246471077,23,NA,140901
2025-10-01,2025-11-01,ED_AN_GIANG_THOAI_SON_DISTRICT,1 month,2025,0,1,1,1,0,66.457623563353,55.6138565375689,NA,163251
