district_name,grp
ED_AN_GIANG_AN_PHU_DISTRICT,7
ED_AN_GIANG_CHAU_DOC_CITY,3
ED_AN_GIANG_CHAU_PHU_DISTRICT,3
ED_AN_GIANG_CHAU_THANH_DISTRICT,3
ED_AN_GIANG_CHO_MOI_DISTRICT,0
ED_AN_GIANG_LONG_XUYEN_CITY,0
ED_AN_GIANG_PHU_TAN_DISTRICT,3
ED_AN_GIANG_TAN_CHAU_TOWN,3
ED_AN_GIANG_THOAI_SON_DISTRICT,7
ED_AN_GIANG_TINH_BIEN_DISTRICT,3
ED_AN_GIANG_TRI_TON_DISTRICT,7
ED_BAC_LIEU_BAC_LIEU_CITY,7
ED_BAC_LIEU_DONG_HAI_DISTRICT,4
ED_BAC_LIEU_GIA_RAI_TOWN,4
ED_BAC_LIEU_HONG_DAN_DISTRICT,7
ED_BAC_LIEU_PHUOC_LONG_DISTRICT,7
ED_BAC_LIEU_VINH_LOI_DISTRICT,7
ED_BEN_TRE_BA_TRI_DISTRICT,6
ED_BEN_TRE_BEN_TRE_CITY,6
ED_BEN_TRE_BINH_DAI_DISTRICT,6
ED_BEN_TRE_CHAU_THANH_DISTRICT,6
ED_BEN_TRE_CHO_LACH_DISTRICT,1
ED_BEN_TRE_GIONG_TROM_DISTRICT,6
ED_BEN_TRE_MO_CAY_DISTRICT,7
ED_BEN_TRE_THANH_PHU_DISTRICT,7
ED_CAN_THO_BINH_THUY_URBAN_DISTRICT,7
ED_CAN_THO_CAI_RANG_URBAN_DISTRICT,7
ED_CAN_THO_CO_DO_DISTRICT,5
ED_CAN_THO_NINH_KIEU_URBAN_DISTRICT,7
ED_CAN_THO_O_MON_URBAN_DISTRICT,7
ED_CAN_THO_PHONG_DIEN_DISTRICT,7
ED_CAN_THO_THOT_NOT_URBAN_DISTRICT,7
ED_CAN_THO_VINH_THANH_DISTRICT,7
ED_CA_MAU_CAI_NUOC_DISTRICT,4
ED_CA_MAU_CA_MAU_CITY,4
ED_CA_MAU_DAM_DOI_DISTRICT,4
ED_CA_MAU_NAM_CAN_DISTRICT,4
ED_CA_MAU_NGOC_HIEN_DISTRICT,7
ED_CA_MAU_PHU_TAN_DISTRICT,4
ED_CA_MAU_THOI_BINH_DISTRICT,4
ED_CA_MAU_TRAN_VAN_THOI_DISTRICT,4
ED_CA_MAU_U_MINH_DISTRICT,7
ED_DONG_THAP_CAO_LANH_CITY,0
ED_DONG_THAP_CAO_LANH_DISTRICT,0
ED_DONG_THAP_CHAU_THANH_DISTRICT,7
ED_DONG_THAP_HONG_NGU_DISTRICT,7
ED_DONG_THAP_LAI_VUNG_DISTRICT,7
ED_DONG_THAP_LAP_VO_DISTRICT,0
ED_DONG_THAP_SA_DEC_CITY,0
ED_DONG_THAP_TAM_NONG_DISTRICT,7
ED_DONG_THAP_TAN_HONG_DISTRICT,7
ED_DONG_THAP_THANH_BINH_DISTRICT,0
ED_DONG_THAP_THAP_MUOI_DISTRICT,7
ED_HAU_GIANG_CHAU_THANH_A_DISTRICT,5
ED_HAU_GIANG_CHAU_THANH_DISTRICT,7
ED_HAU_GIANG_LONG_MY_DISTRICT,7
ED_HAU_GIANG_NGA_BAY_CITY,7
ED_HAU_GIANG_VI_THANH_CITY,5
ED_HAU_GIANG_VI_THUY_DISTRICT,5
ED_KIEN_GIANG_AN_MINH_DISTRICT,7
ED_KIEN_GIANG_CHAU_THANH_DISTRICT,5
ED_KIEN_GIANG_GIONG_RIENG_DISTRICT,5
ED_KIEN_GIANG_GO_QUAO_DISTRICT,5
ED_KIEN_GIANG_HA_TIEN_CITY,7
ED_KIEN_GIANG_HON_DAT_DISTRICT,7
ED_KIEN_GIANG_KIEN_HAI_DISTRICT,7
