"","date","obs_dengue_cases","pop_total","fcode","monthN","epidemic_flag","epidemic_flag_poisson","epidemic_flag_poisson2","epidemic_flag_nb","epidemic_flag_quant","threshold_poisson","threshold_poisson2","threshold_nb","threshold","threshold_quant","obs_inc","epidemic_flag_fixed","year","alarmN","alarmN_pois","alarmN_quant","alarmN_fixed","N_epidemic_sd","N_epidemic_pois","N_epidemic_quant","N_epidemic_fixed","inc"
"1",2009-07-01,39,179919,"ED_AN_GIANG_AN_PHU_DISTRICT",7,0,0,0,0,0,124,117,119,372.109115869063,287.8,21.6764210561419,0,2009,0,0,0,0,NA,NA,NA,NA,21.6764210561419
"2",2009-08-01,86,179919,"ED_AN_GIANG_AN_PHU_DISTRICT",8,0,0,0,0,0,191,184,186,547.613246525363,428.2,47.7992874571335,0,2009,0,0,0,0,NA,NA,NA,NA,47.7992874571335
"3",2009-09-01,130,179919,"ED_AN_GIANG_AN_PHU_DISTRICT",9,0,0,0,0,0,159.025,152,154,363.482103426709,287,72.2547368538064,1,2009,0,0,0,1,NA,NA,NA,130,72.2547368538064
"4",2009-10-01,144,179919,"ED_AN_GIANG_AN_PHU_DISTRICT",10,1,1,1,1,1,77,75,76,133.324960896757,109,80.0360162072933,1,2009,1,1,1,2,144,144,144,144,80.0360162072933
"5",2009-11-01,96,179919,"ED_AN_GIANG_AN_PHU_DISTRICT",11,0,1,1,1,1,69,65,67,108.6776436283,80.8,53.3573441381955,1,2009,1,2,2,3,96,96,96,96,53.3573441381955
"6",2009-12-01,59,179919,"ED_AN_GIANG_AN_PHU_DISTRICT",12,0,1,1,1,1,37,35,36,65.4020407632052,48.4,32.792534418266,0,2009,1,3,3,3,59,59,59,59,32.792534418266
"7",2010-01-01,28,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",1,0,0,1,1,1,28.025,25,26,34.9115345252878,27.6,15.5752842489375,0,2010,1,3,4,2,28,28,28,28,15.5752842489375
"8",2010-02-01,12,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",2,0,0,0,0,0,23,20,21,36.5771815640127,27.6,6.67512182097323,0,2010,0,2,3,1,NA,12,12,12,6.67512182097323
"9",2010-03-01,8,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",3,0,0,0,0,0,21,18,19,23.6782977438973,17.4,4.45008121398215,0,2010,0,1,2,0,NA,8,8,NA,4.45008121398215
"10",2010-04-01,22,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",4,0,0,0,0,0,44,41,42,103.436102060009,78,12.2377233384509,0,2010,0,0,1,0,NA,NA,22,NA,12.2377233384509
"11",2010-05-01,21,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",5,0,0,0,0,0,83,78,79,199.118966741881,151,11.6814631867032,0,2010,0,0,0,0,NA,NA,NA,NA,11.6814631867032
"12",2010-06-01,26,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",6,0,0,0,0,0,113,107,109,303.377023239333,225.5,14.462763945442,0,2010,0,0,0,0,NA,NA,NA,NA,14.462763945442
"13",2010-07-01,92,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",7,0,0,0,0,0,126,121,123,370.975654320764,274.75,51.1759339607948,1,2010,0,0,0,1,NA,NA,NA,92,51.1759339607948
"14",2010-08-01,150,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",8,0,0,0,0,0,202,194,197,543.677793572414,413,83.4390227621654,1,2010,0,0,0,2,NA,NA,NA,150,83.4390227621654
"15",2010-09-01,244,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",9,0,1,1,1,0,179,171,173,359.007765914886,280.25,135.727477026456,1,2010,0,1,0,3,NA,244,NA,244,135.727477026456
"16",2010-10-01,343,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",10,1,1,1,1,1,79,75,76,133.324960896757,109,190.797232049485,1,2010,1,2,1,4,343,343,343,343,190.797232049485
"17",2010-11-01,183,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",11,1,1,1,1,1,87,82,83,121.584756204709,92.25,101.795607769842,1,2010,2,3,2,4,183,183,183,183,101.795607769842
"18",2010-12-01,57,179772,"ED_AN_GIANG_AN_PHU_DISTRICT",12,0,1,1,1,0,51,47,48,77.8698437118436,57.25,31.7068286496229,0,2010,2,4,2,3,57,57,57,57,31.7068286496229
"19",2011-01-01,34,179940.98568,"ED_AN_GIANG_AN_PHU_DISTRICT",1,0,1,1,1,1,33,29,30,38.1092788593643,28,18.8950837806703,0,2011,2,4,3,2,34,34,34,34,18.8950837806703
"20",2011-02-01,18,179940.98568,"ED_AN_GIANG_AN_PHU_DISTRICT",2,0,0,0,0,0,25.025,23,24,34.2756668824971,27.25,10.0032796485902,0,2011,1,3,2,1,18,18,18,18,10.0032796485902
