"","fcode","issue_date","pred_date","Forecast_horizon","hmean_cases","hsd_cases","pred_cases","pred_cases_95lb","pred_cases_95ub","risk_value_absoulte","risk_prob_absoulte","risk_value_max_absolute","risk_value_z","risk_prob_z","risk_value_max_z","high_risk_threshold","medium_risk_threshold","low_risk_threshold","outbreak_risk_prob","high_risk_prob","medium_risk_prob","low_risk_prob","selected_horizon","epidemic_flag_risk_incidence","epidemic_flag_z_score_incidence","epidemic_flag_pred_mean","epidemic_flag_from_two_methods","epidemic_flag_from_three_methods","mean","median"
"1","ED_AN_GIANG_AN_PHU_DISTRICT","2023-01-01","2023-02-01","1 month",13.5548,6.6013600686128,25.089,7,63,11.9408,0.7463,16,0.309603245524206,0.226,33,38.8627661548885,29.5578830774443,20.253,0.1426,0.1426,0.2604,0.4544,"1 month",0,0,0,0,0,25.089,22
"2","ED_AN_GIANG_CHAU_DOC_CITY","2023-01-01","2023-02-01","1 month",11.2925,5.60632560940621,26.2599531413808,6.59603756722943,68,11.7062,0.6886,17,1.05154740565284,0.3771,27,22.574827411234,16.962763705617,11.3507,0.4866,0.202,0.1806,0.1308,"1 month",0,1,1,1,0,26.2599531413808,22
"3","ED_AN_GIANG_CHAU_PHU_DISTRICT","2023-01-01","2023-02-01","1 month",29.9906,12.8089546244749,64.8528978309648,20,155,30.9204,0.7362,42,0.212675103330891,0.1751,93,112.755723906151,87.6022619530756,62.4488,0.092,0.1088,0.2277,0.5715,"1 month",0,0,0,0,0,64.8528978309648,57
"4","ED_AN_GIANG_CHAU_THANH_DISTRICT","2023-01-01","2023-02-01","1 month",21.4552,8.45478215533253,26.2106166405746,6,79.077999815821,10.9104,0.6819,16,0.159119526781696,0.102,51,56.2712148455438,44.2913074227719,32.3114,0.0788,0.0577,0.1074,0.7561,"1 month",0,0,0,0,0,26.2106166405746,20.5017036559536
"5","ED_AN_GIANG_CHO_MOI_DISTRICT","2023-01-01","2023-02-01","1 month",51.3925,22.4907053453798,66.1537664358671,16.29533524416,172,29.85,0.597,50,0.00792251284325075,0.0132,197,289.062633184099,223.29466659205,157.5267,0.0026,0.0048,0.0305,0.9621,"1 month",0,0,0,0,0,66.1537664358671,57
"6","ED_AN_GIANG_LONG_XUYEN_CITY","2023-01-01","2023-02-01","1 month",27.3669,11.8321462279012,32.716,10,74,16.25,0.65,25,0.00611383001874275,0.008,99,136.894481129917,106.229840564958,75.5652,0.001,0.0038,0.0182,0.977,"1 month",0,0,0,0,0,32.716,29
"7","ED_AN_GIANG_PHU_TAN_DISTRICT","2023-01-01","2023-02-01","1 month",18.9995,9.0691082594962,19.8827,5,46,9.813,0.6542,15,0.0159062742259354,0.0354,43,67.6134032415239,51.740651620762,35.8679,0.0027,0.0102,0.0658,0.9213,"1 month",0,0,0,0,0,19.8827,18
"8","ED_AN_GIANG_TAN_CHAU_TOWN","2023-01-01","2023-02-01","1 month",17.2268,8.54312941878013,23.2360265485746,4,79.3291219208409,8.868,0.5912,15,0.221683764636601,0.106,48,46.9587596197572,35.5611798098786,24.1636,0.1075,0.0618,0.1313,0.6994,"1 month",0,0,0,0,0,23.2360265485746,17
"9","ED_AN_GIANG_THOAI_SON_DISTRICT","2023-01-01","2023-02-01","1 month",11.5962,6.49086733001604,19.3801092341431,5,48.0165531117591,9.2145,0.6143,15,0.15632231641876,0.1166,32,38.4540003218461,28.6652501609231,18.8765,0.0583,0.1027,0.27,0.569,"1 month",0,0,0,0,0,19.3801092341431,17
"10","ED_AN_GIANG_TINH_BIEN_DISTRICT","2023-01-01","2023-02-01","1 month",11.5537,8.01179974809158,29.6785518587941,5,81,13.01,0.6505,20,0.77134851759632,0.3017,35,30.1232891074486,21.3628445537243,12.6024,0.3742,0.2235,0.2423,0.16,"1 month",0,1,0,0,0,29.6785518587941,25
"11","ED_AN_GIANG_TRI_TON_DISTRICT","2023-01-01","2023-02-01","1 month",5.096,3.56413443986482,19.3733,5,50,8.6394,0.6171,14,1.37486563592155,0.4238,19,14.0323655029717,10.0395327514859,6.0467,0.5772,0.1793,0.1685,0.075,"1 month",0,0,0,0,0,19.3733,16
"12","ED_BAC_LIEU_BAC_LIEU_CITY","2023-01-01","2023-02-01","1 month",3.8456,3.12204025495114,25.3629,7,59.0249999999997,12.5052,0.7356,17,1.99491426776943,0.5577,22,14.9971343112187,10.5566171556093,6.1161,0.8036,0.1068,0.069,0.0206,"1 month",0,0,0,0,0,25.3629,23
"13","ED_BAC_LIEU_DONG_HAI_DISTRICT","2023-01-01","2023-02-01","1 month",5.3491,3.66037826281693,14.6287,4,34,7.0488,0.5874,12,0.521009196749921,0.3318,17,19.3291153408979,13.909407670449,8.4897,0.2255,0.2506,0.2967,0.2272,"1 month",0,0,0,0,0,14.6287,13
"14","ED_BAC_LIEU_GIA_RAI_TOWN","2023-01-01","2023-02-01","1 month",2.728,2.1194964558882,6.0958,1,16,2.7588,0.6897,4,0.3377524648243,0.2314,8,9.47793815783861,6.74301907891931,4.0081,0.1817,0.184,0.2034,0.4309,"1 month",0,0,0,0,0,6.0958,5
"15","ED_BAC_LIEU_HONG_DAN_DISTRICT","2023-01-01","2023-02-01","1 month",1.9396,2.50862136603271,6.6392,1,17,3.2634,0.5439,6,0.752971753187654,0.5439,6,7.67251426973083,4.95565713486542,2.2388,0.3296,0.3363,0.2278,0.1063,"1 month",0,0,0,0,0,6.6392,6
"16","ED_BAC_LIEU_PHUOC_LONG_DISTRICT","2023-01-01","2023-02-01","1 month",1.7986,1.67203995519281,7.37226634608483,1,19,3.432,0.6864,5,1.01684434416702,0.2541,10,6.13416143033559,4.2029307151678,2.2717,0.4964,0.1999,0.2002,0.1035,"1 month",0,0,0,0,0,7.37226634608483,6
"17","ED_BAC_LIEU_VINH_LOI_DISTRICT","2023-01-01","2023-02-01","1 month",3.7875,2.71666740293651,21.4485881728582,3.52110184483194,53,9.9378,0.5521,18,1.07701239968664,0.4774,20,18.7019762814038,13.6314881407019,8.561,0.5193,0.2017,0.1697,0.1093,"1 month",0,0,0,0,0,21.4485881728582,19
"18","ED_BEN_TRE_BA_TRI_DISTRICT","2023-01-01","2023-02-01","1 month",1.3944,1.58395060843228,6.94422651133201,1,23.7409463220676,2.7312,0.6828,4,0.699555882761306,0.3769,7,7.34947634980895,4.92123817490447,2.493,0.325,0.2284,0.2676,0.179,"1 month",0,0,0,0,0,6.94422651133201,5
"19","ED_BEN_TRE_BEN_TRE_CITY","2023-01-01","2023-02-01","1 month",1.3455,1.54718102590249,5.42417027209535,1,14.0038190890138,2.415,0.805,3,0.951581240545589,0.3913,6,5.22546962113181,3.4319348105659,1.6384,0.4074,0.2614,0.2695,0.0617,"1 month",0,0,0,0,0,5.42417027209535,5
"20","ED_BEN_TRE_BINH_DAI_DISTRICT","2023-01-01","2023-02-01","1 month",1.1852,1.27955644129856,8.7046,2,24,3.9431,0.5633,7,1.88773708804571,0.5633,7,4.84642393243517,3.25261196621759,1.6588,0.7495,0.0867,0.1395,0.0243,"1 month",0,0,0,0,0,8.7046,7
"21","ED_BEN_TRE_CHAU_THANH_DISTRICT","2023-01-01","2023-02-01","1 month",2.3334,2.20470644600394,6.2521229674516,1,23.7025864949763,2.0552,0.2936,7,0.305092266915147,0.151,11,10.9298267694442,7.50316338472211,4.0765,0.1586,0.0928,0.2313,0.5173,"1 month",0,0,0,0,0,6.2521229674516,4
"22","ED_BEN_TRE_CHO_LACH_DISTRICT","2023-01-01","2023-02-01","1 month",2.2773,2.54531973929751,5.26992175493309,1,14,2.026,0.5065,4,0.344919212173367,0.279,6,8.12939187391642,5.34124593695821,2.5531,0.148,0.2192,0.4157,0.2171,"1 month",0,0,0,0,0,5.26992175493309,4.42989629094929
"23","ED_BEN_TRE_GIONG_TROM_DISTRICT","2023-01-01","2023-02-01","1 month",0.7658,1.05558599184463,3.3326,1,10,1.0872,0.3624,3,0.431098675525058,0.2338,4,4.23141284254924,2.74915642127462,1.2669,0.2338,0.3049,0.2424,0.2189,"1 month",0,0,0,0,0,3.3326,3
"24","ED_BEN_TRE_MO_CAY_DISTRICT","2023-01-01","2023-02-01","1 month",4.7138,4.33529341993177,8.4913,2,24,3.7098,0.6183,6,0.0433958148257347,0.0842,18,34.1524439801623,23.2725219900811,12.3926,0.0053,0.0238,0.1621,0.8088,"1 month",0,0,0,0,0,8.4913,7
"25","ED_BEN_TRE_THANH_PHU_DISTRICT","2023-01-01","2023-02-01","1 month",2.4582,2.8073904082066,5.4762,1,16,2.472,0.4944,5,0.267477651309396,0.1342,10,10.0235403052945,6.59847015264725,3.1734,0.1016,0.1851,0.3462,0.3671,"1 month",0,0,0,0,0,5.4762,4
"26","ED_CAN_THO_BINH_THUY_URBAN_DISTRICT","2023-01-01","2023-02-01","1 month",9.6964,4.51582398977536,26.2211,7,62,12.1695,0.8113,15,0.803429187423687,0.3452,29,26.9581767251289,20.7222883625645,14.4864,0.4008,0.1999,0.2106,0.1887,"1 month",0,0,0,0,0,26.2211,23
"27","ED_CAN_THO_CAI_RANG_URBAN_DISTRICT","2023-01-01","2023-02-01","1 month",10.57,4.7043291839865,26.4054263244528,4.84710261930391,70.0249999999996,11.534,0.5767,20,1.27833659555116,0.377,28,21.1937865486934,16.3000932743467,11.4064,0.5246,0.1479,0.1559,0.1716,"1 month",0,1,1,1,0,26.4054263244528,22
"28","ED_CAN_THO_CO_DO_DISTRICT","2023-01-01","2023-02-01","1 month",9.7415,4.28610718735336,32.8794999555847,8,88.7127906653959,14.1696,0.5904,24,0.652998887814619,0.2225,45,37.5659541943704,29.6136270971852,21.6613,0.304,0.1448,0.2009,0.3503,"1 month",0,0,0,0,0,32.8794999555847,27
"29","ED_CAN_THO_NINH_KIEU_URBAN_DISTRICT","2023-01-01","2023-02-01","1 month",29.7641,12.5627160030519,66.2146,20,163,31.4142,0.7662,41,0.0767711936699511,0.074,123,155.829131229809,121.722765614905,87.6164,0.0318,0.0441,0.1294,0.7947,"1 month",0,0,0,0,0,66.2146,58
"30","ED_CAN_THO_O_MON_URBAN_DISTRICT","2023-01-01","2023-02-01","1 month",14.4719,7.6325903881712,11.1435,2,29,5.2389,0.5821,9,0.0291041924089753,0.0308,28,38.2170636568321,28.5331818284161,18.8493,0.0063,0.0195,0.1027,0.8715,"1 month",0,0,0,0,0,11.1435,10
"31","ED_CAN_THO_PHONG_DIEN_DISTRICT","2023-01-01","2023-02-01","1 month",3.6563,2.43617811466663,9.0955,2,22,4.3656,0.7276,6,0.935132586582613,0.2663,12,8.37513764331565,5.97706882165782,3.579,0.464,0.2636,0.1662,0.1062,"1 month",0,0,0,0,0,9.0955,8
"32","ED_CAN_THO_THOT_NOT_URBAN_DISTRICT","2023-01-01","2023-02-01","1 month",20.5433,12.1216343168671,32.4009,9,76,15.4602,0.5726,27,0.122647561265408,0.1474,48,69.9266071290662,51.1526535645331,32.3787,0.0379,0.0836,0.2884,0.5901,"1 month",0,0,0,0,0,32.4009,29
"33","ED_CAN_THO_VINH_THANH_DISTRICT","2023-01-01","2023-02-01","1 month",26.3889,19.3120934257591,9.1582,2,24,4.2464,0.5308,8,0.00222116285162286,0.0039,36,62.0337529435965,43.8343264717982,25.6349,0,0.0012,0.0171,0.9817,"1 month",0,0,0,0,0,9.1582,8
"34","ED_CA_MAU_CAI_NUOC_DISTRICT","2023-01-01","2023-02-01","1 month",11.259,8.14385358630197,9.03667294599807,2,23,3.6834,0.6139,6,0.0173932055589163,0.0384,21,38.8266094295309,27.3036547147655,15.7807,0.0011,0.0083,0.117,0.8736,"1 month",0,0,0,0,0,9.03667294599807,8
