date,total,country,admin1,year,month,tas,dry_days,population,popdens,gdp,ssp,flux_rad,total_arrivals,tas02,dry02
01/01/1999,,indonesia,aceh,1999,1,24.98378906,8.486008644,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.026134235,,
01/02/1999,,indonesia,aceh,1999,2,24.96035156,7.36741066,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.025321691,,
01/03/1999,,indonesia,aceh,1999,3,25.56179199,7.628816605,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.029789001,25.16864421,7.82741197
01/04/1999,,indonesia,aceh,1999,4,25.88637695,9.364663124,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.025753997,25.46950684,8.120296796
01/05/1999,,indonesia,aceh,1999,5,25.74193726,8.383805275,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.029909686,25.7300354,8.459095001
01/06/1999,,indonesia,aceh,1999,6,25.42562256,8.56301403,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.029626948,25.68464559,8.770494143
01/07/1999,,indonesia,aceh,1999,7,25.38878784,8.79420948,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.033594632,25.51878255,8.580342929
01/08/1999,,indonesia,aceh,1999,8,25.20119629,8.598967552,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.030803672,25.33853556,8.652063688
01/09/1999,,indonesia,aceh,1999,9,25.71343384,5.552224636,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.033543164,25.43447266,7.648467223
01/10/1999,,indonesia,aceh,1999,10,25.55858765,3.392535686,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.035892868,25.49107259,5.847909292
01/11/1999,,indonesia,aceh,1999,11,25.87706909,8.622970581,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.035205259,25.71636353,5.855910301
01/12/1999,,indonesia,aceh,1999,12,24.77684937,7.079866409,2891158.13,51.03163299,144607324.1,historical,84588.80679,0.034597732,25.4041687,6.365124226
01/01/2000,7,indonesia,aceh,2000,1,25.00270996,9.219508171,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.032187695,25.21887614,8.307448387
01/02/2000,4,indonesia,aceh,2000,2,24.94280396,9.105668068,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.031188112,24.90745443,8.468347549
01/03/2000,5,indonesia,aceh,2000,3,25.36477051,8.000669479,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.036689108,25.10342814,8.775281906
01/04/2000,1,indonesia,aceh,2000,4,25.69921265,6.451509953,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.031718885,25.3355957,7.852615833
01/05/2000,1,indonesia,aceh,2000,5,26.05120239,11.76072693,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.036836985,25.70506185,8.737635454
01/06/2000,2,indonesia,aceh,2000,6,25.17333374,6.518306732,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.036489916,25.64124959,8.243514538
01/07/2000,1,indonesia,aceh,2000,7,25.61611328,17.58644485,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.041376824,25.6135498,11.95515951
01/08/2000,4,indonesia,aceh,2000,8,25.56405029,8.128048897,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.037940017,25.45116577,10.74426683
01/09/2000,4,indonesia,aceh,2000,9,25.86318359,6.0477314,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.041312913,25.68111572,10.58740838
01/10/2000,5,indonesia,aceh,2000,10,26.19020996,5.755298138,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.044209162,25.87248128,6.643692811
01/11/2000,14,indonesia,aceh,2000,11,26.00637207,5.88647747,2927760.117,51.67769215,170430060.6,historical,90231.91318,0.043361079,26.01992188,5.896502336
